Date,Price,Open,High,Low,Vol.,Change %
12/14/2021,4.6465,4.6564,4.6573,4.6456,18.29K,-0.12%
12/15/2021,4.6633,4.6494,4.6651,4.6433,22.94K,0.36%
12/16/2021,4.6699,4.6637,4.6733,4.6556,27.04K,0.14%
12/17/2021,4.6616,4.6694,4.6763,4.6595,27.77K,-0.18%
12/20/2021,4.6639,4.6656,4.6692,4.6574,23.96K,0.05%
12/21/2021,4.6699,4.6666,4.6726,4.6606,20.15K,0.13%
12/22/2021,4.6755,4.6704,4.6803,4.6611,20.34K,0.12%
12/23/2021,4.6877,4.6764,4.6916,4.6750,19.31K,0.26%
12/24/2021,4.6821,4.6887,4.6986,4.6804,16.53K,-0.12%
12/27/2021,4.6935,4.6861,4.7038,4.6833,14.33K,0.24%
12/28/2021,4.7017,4.6949,4.7081,4.6937,16.00K,0.17%
12/29/2021,4.7080,4.7036,4.7141,4.6971,16.83K,0.13%
12/30/2021,4.7088,4.7091,4.7176,4.7036,15.66K,0.02%
12/31/2021,4.7070,4.7119,4.7237,4.6993,17.40K,-0.04%
01/03/2022,4.6910,4.7108,4.7161,4.6929,12.91K,-0.34%
01/04/2022,4.6988,4.6948,4.7123,4.6905,19.17K,0.17%
01/05/2022,4.6866,4.7000,4.7035,4.6864,20.35K,-0.26%
01/06/2022,4.6893,4.6874,4.6972,4.6813,21.71K,0.06%
01/07/2022,4.7027,4.6908,4.7076,4.6843,20.98K,0.29%
01/10/2022,4.6990,4.7042,4.7084,4.6923,21.94K,-0.08%
01/11/2022,4.7190,4.7007,4.7207,4.6993,21.01K,0.43%
01/12/2022,4.7240,4.7186,4.7262,4.7073,21.98K,0.11%
01/13/2022,4.7237,4.7227,4.7326,4.7203,26.40K,-0.01%
01/14/2022,4.7135,4.7248,4.7330,4.7078,27.97K,-0.22%
01/17/2022,4.7069,4.7143,4.7150,4.7014,25.30K,-0.14%
01/18/2022,4.7000,4.7099,4.7154,4.6986,34.93K,-0.15%
01/19/2022,4.7050,4.7029,4.7117,4.6997,28.35K,0.11%
01/20/2022,4.7055,4.7078,4.7205,4.7046,26.02K,0.01%
01/21/2022,4.7119,4.7063,4.7179,4.7034,27.21K,0.14%
01/24/2022,4.7028,4.7115,4.7159,4.6961,28.14K,-0.19%
01/25/2022,4.7042,4.7039,4.7161,4.7010,24.46K,0.03%
01/26/2022,4.6889,4.7050,4.7088,4.6856,24.93K,-0.33%
01/27/2022,4.7035,4.6906,4.7135,4.6799,31.09K,0.31%
01/28/2022,4.6934,4.7070,4.7087,4.6824,33.33K,-0.21%
01/31/2022,4.7063,4.6947,4.7113,4.6885,25.30K,0.27%
02/01/2022,4.7153,4.7071,4.7189,4.7035,21.41K,0.19%
02/02/2022,4.7206,4.7165,4.7253,4.7127,20.24K,0.11%
02/03/2022,4.7322,4.7218,4.7371,4.7137,25.19K,0.25%
02/04/2022,4.7248,4.7334,4.7394,4.7189,30.32K,-0.16%
02/07/2022,4.7298,4.7049,4.7367,4.7038,30.54K,0.11%
02/08/2022,4.7320,4.7351,4.7382,4.7277,33.15K,0.05%
02/09/2022,4.7406,4.7333,4.7442,4.7301,22.33K,0.18%
02/10/2022,4.7235,4.7417,4.7429,4.7196,31.89K,-0.36%
02/11/2022,4.7140,4.7255,4.7345,4.7136,36.01K,-0.20%
02/14/2022,4.7188,4.7192,4.7253,4.7136,32.64K,0.10%
02/15/2022,4.7126,4.7196,4.7225,4.7036,30.34K,-0.13%
02/16/2022,4.7115,4.7119,4.7218,4.7084,29.93K,-0.02%
02/17/2022,4.7173,4.7136,4.7229,4.7070,41.29K,0.12%
02/18/2022,4.6981,4.7180,4.7209,4.6969,32.23K,-0.41%
02/21/2022,4.7055,4.6976,4.7140,4.6961,28.83K,0.16%
02/22/2022,4.7012,4.7073,4.7103,4.6974,37.28K,-0.09%
02/23/2022,4.6877,4.7011,4.7088,4.6885,30.62K,-0.29%
02/24/2022,4.6683,4.6898,4.6940,4.6509,50.07K,-0.41%
02/25/2022,4.6647,4.6696,4.6798,4.6580,43.40K,-0.08%
02/28/2022,4.6553,4.6558,4.6615,4.6384,40.13K,-0.20%
03/01/2022,4.6481,4.6568,4.6679,4.6455,33.52K,-0.15%
03/02/2022,4.6674,4.6494,4.6697,4.6417,36.76K,0.42%
03/03/2022,4.6580,4.6678,4.6707,4.6478,36.29K,-0.20%
03/04/2022,4.6438,4.6593,4.6605,4.6347,40.03K,-0.30%
03/07/2022,4.6384,4.6455,4.6482,4.6277,40.87K,-0.12%
03/08/2022,4.6250,4.6417,4.6424,4.6223,46.31K,-0.29%
